spindle speed (rpm),feed (mm/rev),doc (mm),length (mm),time (s),image (.jpg),Ra,Rz,Vib(Hz),cutting speed mm/min,Vb
700,0.14,0.5,240,146.9387755,,1.533,4.337,,98,
700,0.14,0.5,260,159.1836735,,2.207,6.243,,98,
700,0.14,0.5,280,171.4285714,,2.696,7.625,,98,
700,0.14,0.5,300,183.6734694,,1.582,4.475,,98,
700,0.14,0.5,320,195.9183673,,1.68,4.751,,98,
700,0.14,0.5,340,208.1632653,,1.66,4.696,,98,
700,0.14,0.5,360,220.4081633,,1.543,4.365,,98,
700,0.14,0.5,380,232.6530612,,1.856,5.249,,98,
700,0.14,0.5,400,244.8979592,,1.367,3.868,,98,
1000,0.14,0.5,20,8.571428571,,2.403,6.796,,140,
1000,0.14,0.5,40,17.14285714,,2.54,7.183,,140,
1000,0.14,0.5,60,25.71428571,,3.182,9.283,,140,
1000,0.14,0.5,80,34.28571429,,2.891,8.178,,140,
1000,0.14,0.5,100,42.85714286,,3.985,11.27,,140,
1000,0.14,0.5,120,51.42857143,,2.393,6.768,,140,
1000,0.14,0.5,140,60,,3.204,9.062,,140,
1000,0.14,0.5,160,68.57142857,,2.266,6.409,,140,
1000,0.14,0.5,180,77.14285714,,2.852,8.067,,140,
1000,0.14,0.5,200,85.71428571,,2.168,6.133,,140,
1000,0.14,0.5,220,94.28571429,,1.377,3.895,,140,
1000,0.14,0.5,240,102.8571429,,1.377,3.895,,140,
1000,0.14,0.5,260,111.4285714,,1.206,3.411,,140,
1000,0.14,0.5,280,120,,1.138,3.218,,140,
1000,0.14,0.5,300,128.5714286,,1.612,4.558,,140,
1000,0.14,0.5,320,137.1428571,,1.138,3.218,,140,
1000,0.14,0.5,340,145.7142857,,2.295,6.492,,140,
1000,0.14,0.5,360,154.2857143,,1.27,3.591,,140,
1000,0.14,0.5,380,162.8571429,,0.913,2.583,,140,
1000,0.14,0.5,400,171.4285714,,0.427,1.208,,140,
1300,0.14,0.5,20,6.593406593,,1.24,3.508,,182,
1300,0.14,0.5,40,13.18681319,,1.504,4.254,,182,
1300,0.14,0.5,60,19.78021978,,1.426,4.033,,182,
1300,0.14,0.5,80,26.37362637,,1.446,4.089,,182,
1300,0.14,0.5,100,32.96703297,,1.084,3.066,,182,
1300,0.14,0.5,120,39.56043956,,1.612,4.558,,182,
1300,0.14,0.5,140,46.15384615,,1.358,3.84,,182,
1300,0.14,0.5,160,52.74725275,,1.309,3.702,,182,
1300,0.14,0.5,180,59.34065934,,1.118,3.163,,182,
1300,0.14,0.5,200,65.93406593,,0.977,2.762,,182,
1300,0.14,0.5,220,72.52747253,,0.674,1.906,,182,
1300,0.14,0.5,240,79.12087912,,1.069,3.025,,182,
1300,0.14,0.5,260,85.71428571,,1.094,3.094,,182,
1300,0.14,0.5,280,92.30769231,,1.358,3.84,,182,
1300,0.14,0.5,300,98.9010989,,1.387,3.923,,182,
1300,0.14,0.5,320,105.4945055,,1.485,4.199,,182,
1300,0.14,0.5,340,112.0879121,,1.074,3.033,,182,
1300,0.14,0.5,360,118.6813187,,1.133,3.204,,182,
1300,0.14,0.5,380,125.2747253,,1.26,3.564,,182,
1300,0.14,0.5,400,131.8681319,,0.942,2.666,,182,
1600,0.14,0.5,20,5.357142857,,1.133,3.204,,224,
1600,0.14,0.5,40,10.71428571,,1.25,3.536,,224,
1600,0.14,0.5,60,16.07142857,,1.226,3.467,,224,
1600,0.14,0.5,80,21.42857143,,1.24,3.508,,224,
1600,0.14,0.5,100,26.78571429,,1.387,3.923,,224,
1600,0.14,0.5,120,32.14285714,,1.348,3.812,,224,
1600,0.14,0.5,140,37.5,,1.235,3.494,,224,
1600,0.14,0.5,160,42.85714286,,1.299,3.674,,224,
1600,0.14,0.5,180,48.21428571,,1.27,3.591,,224,
1600,0.14,0.5,200,53.57142857,,1.152,3.259,,224,
1600,0.14,0.5,220,58.92857143,,1.377,3.895,,224,
1600,0.14,0.5,240,64.28571429,,1.719,4.862,,224,
1600,0.14,0.5,260,69.64285714,,1.739,4.917,,224,
1600,0.14,0.5,280,75,,1.299,3.674,,224,
1600,0.14,0.5,300,80.35714286,,3.813,7.956,,224,
1600,0.14,0.5,320,85.71428571,,1.621,4.586,,224,
1600,0.14,0.5,340,91.07142857,,1.895,5.359,,224,
1600,0.14,0.5,360,96.42857143,,0.903,2.555,,224,
1600,0.14,0.5,380,101.7857143,,1.524,4.309,,224,
1600,0.14,0.5,400,107.1428571,,0.942,2.664,,224,
700,0.18,0.5,20,9.523809524,,2.54,7.183,,126,
700,0.18,0.5,40,19.04761905,,3.966,11.21,,126,
700,0.18,0.5,60,28.57142857,,3.36,9.503,,126,
700,0.18,0.5,80,38.0952381,,3.477,9.835,,126,
700,0.18,0.5,100,47.61904762,,3.575,10.11,,126,
700,0.18,0.5,120,57.14285714,,2.969,8.399,,126,
700,0.18,0.5,140,66.66666667,,2.461,6.961,,126,
700,0.18,0.5,160,76.19047619,,2.598,7.349,,126,
700,0.18,0.5,180,85.71428571,,1.67,4.724,,126,
700,0.18,0.5,200,95.23809524,,2.696,7.625,,126,
700,0.18,0.5,220,104.7619048,,1.651,4.669,,126,
700,0.18,0.5,240,114.2857143,,2.911,8.233,,126,
700,0.18,0.5,260,123.8095238,,2.969,8.399,,126,
700,0.18,0.5,280,133.3333333,,1.68,4.781,,126,
700,0.18,0.5,300,142.8571429,,2.334,6.602,,126,
700,0.18,0.5,320,152.3809524,,3.165,8.951,,126,
700,0.18,0.5,340,161.9047619,,2.579,7.294,,126,
700,0.18,0.5,360,171.4285714,,3.165,8.951,,126,
700,0.18,0.5,380,180.952381,,3.595,10.16,,126,
700,0.18,0.5,400,190.4761905,,2.833,8.012,,126,
1000,0.18,0.5,20,6.666666667,,2.422,6.851,,180,
1000,0.18,0.5,40,13.33333333,,2.246,6.354,,180,
1000,0.18,0.5,60,20,,2.559,7.238,,180,
1000,0.18,0.5,80,26.66666667,,2.891,8.178,,180,
1000,0.18,0.5,100,33.33333333,,3.303,9.338,,180,
1000,0.18,0.5,120,40,,4.536,12.32,,180,
1000,0.18,0.5,140,46.66666667,,3.009,8.509,,180,
1000,0.18,0.5,160,53.33333333,,5.236,14.8,,180,
1000,0.18,0.5,180,60,,3.419,9.67,,180,
1000,0.18,0.5,200,66.66666667,,2.744,7.846,,180,
1000,0.18,0.5,220,73.33333333,,1.934,8.469,,180,
1000,0.18,0.5,240,80,,2.168,6.133,,180,
1000,0.18,0.5,260,86.66666667,,1.905,5.387,,180,
1000,0.18,0.5,280,93.33333333,,1.25,3.536,,180,
1000,0.18,0.5,300,100,,1.328,3.757,,180,
